지역,대학명,1work_std,Get_Job,Tuition,Scholar,1prof_std,1Prof_Paper,Edu_Fund,A_Ratio,Dorm_Capa,Fresh_Ratio,Fresh_Comp,Fail
경기,가천대학교,64.839599,67.2,8249738.7,3293557.8,2289,0.423,14143576,66.1,11.5,100,15.4,3.7
경기,가톨릭대학교,40.27659574,61.3,6964630.1,3210221.8,887,0.7996,25077325.5,64.7,16.7,99.8,12.7,3.7
경기,강남대학교,48.92777778,60,7450968.5,3401188.9,486,0.5114,11431835,47.4,13.9,99.9,7.4,6.6
서울,건국대학교,38.16943522,65.8,8275197.2,3195752.2,2114,0.5444,15493253,70,18.9,99.4,18.3,2.8
경기,경기대학교,59.82116788,60.7,7305505.8,3553668.4,1212,0.7702,11909506.5,80,17.9,100,18.1,3.8
서울,경희대학교,29.984375,67.4,7935606.4,3074537.3,3578,0.4839,16134366,43.9,17.1,99.7,16.4,3.3
서울,고려대학교,23.09398815,73.3,8268998,3269430.3,4273,0.3575,27733380.5,61.1,12.2,99.8,10.8,2.7
서울,광운대학교,47.71255061,60.6,7830919.5,3005197.5,891,0.5411,14293025.5,56.2,12,99.9,11.4,3.9
서울,국민대학교,44.33333333,67,7923884.8,3419381,1816,0.6169,15096873.5,59.4,11.5,100,9.6,3.2
경기,단국대학교,44.57938719,62.9,8019362.6,3127752.2,1862,0.9735,13805657,73.4,19.4,99.8,13.9,3.2
경기,대진대학교,49.63592233,66.2,7171065.3,3902426.1,488,0.6646,12621088,55.5,22.1,100,6.1,5.4
서울,덕성여자대학교,39.39306358,58.9,7072813.4,3012328.3,520,0.585,12916897,73.1,13.1,99.9,15.8,3.2
서울,동국대학교,35.64772727,69,7939150.6,3304552.4,2359,0.6155,15448260,75.9,11.5,99.9,18.9,2.8
서울,동덕여자대학교,58.68115942,66.6,7374035.6,3226655.9,566,0.598,10752942,68.5,10.4,99.9,12.4,3.5
경기,루터대학교,13.63333333,70.1,6300000,3909613.9,50,1.1176,14970157,47.2,26.9,100,3.3,4.6
경기,명지대학교,35.608,64,9117673.4,3647036.2,694,0.1288,13412793,53.9,30.4,99.9,10.4,4.2
서울,삼육대학교,29.6846473,64.5,7748262.7,3953894.6,595,0.7046,12795579.5,58.1,27,100.1,11.1,3.6
서울,상명대학교,47.78534031,62.1,7696921.1,3403334.7,666,0.766,13549721.5,65.2,8.5,100,11.9,3.8
서울,서강대학교,41.20344828,73.7,7944545.7,2677445.6,1118,0.4878,17790417,42.8,12.8,99.4,20.1,3.1
서울,서경대학교,45.09895833,69,7928490.1,3368305.8,612,0.4983,11965425.5,65.7,10.7,100,18.8,5.3
서울,서울과학기술대학교,27.14450867,66.2,5445457.1,3185386,903,0.4442,15398381.5,58,22.6,99.9,11.5,3.2
서울,서울교육대학교,9.773006135,48.1,3088000,1797022.1,477,1.6275,12097203,47.9,29.4,99.4,3.9,1.7
서울,서울기독대학교,23.125,50,7244470.6,3530379.4,130,0.237,9288771.5,76,16.2,46.8,2.1,10.7
서울,서울시립대학교,40.4295082,70,2393269,1770081.3,1160,0.6737,15551090.5,66.4,11.6,99.9,14.5,2.8
